COURSE CATEGORY,COURSE TITLE,COURSE OBJECTIVE,COURSE INSTRUCTORS,INSTRUCTOR PROFFESSION,COURSE RATING,,,
TEACHING AND  ACADEMICS,"Master Neuroscience and Neuroanatomy.
","Introduction to Neuroanatomy.
Development of Nervous System.
Meninges.
C.S.F & Ventricular system.
Blood Supply to Brain.
Blood Brain Barrier.
Histology of Nervous System.
Spinal Cord & its Lesions.
Brown-Sequard Syndrome (BSS).
Nerve supply to Lacrimal Gland.
Petrosal Nerves (Greater, Deep & Lesser Petrosal Nerves).
Ascending Tracts.
Motor System & Descending Tracts.
Upper & Lower Motor Neurons & their Lesions.
Brain Stem (Basic Concepts).
Medulla.
Pons .
Mid-Brain.
Cerebellum.
Diencephalon.
Thalamus.
Hypothalamus.
Cranial Nerves (Basic Concepts).
Oculomotor Nerve and Clinical Correlates.
Trochlear Nerve and its Clinical Correlates.
Abducent Nerve and its Clinical Correlates.
Facial Nerves.
Facial Nerve & Clinical Correlates.
Glossopharyngeal & Vagus Nerves (9th & 10th Nerves).
Ciliary Ganglion and Connections.
Anatomy of Oculosympathetic Pathway & Horner's Syndrome.
Pterygopalatine Fossa.
Pterygopalatine Ganglion.
Otic Ganglion.
Basal Ganglia.
Trigeminal System.
Ophthalmic Nerve (Lacrimal, Frontal & Nasociliary nerves).
Maxillary Nerve and its Branches.
Inner Ear - Auditory System.
Inner Ear - Vestibular System.
Vestibulo-Ocular Reflex.
Visual System.
Horizontal Conjugate Eye Movements.
Cerebral Cortex & Speech.
A.N.S (Epinephrine & Nor-Epinephrine).
Catecholamines Synthesis, Storage & Release.
Anatomy of Cavernous Sinus & Cavernous Sinus Syndrome.
Bulbar & Pseudobulbar Palsy.
Epilepsy.
","Dr. Najeeb Lectures
","World's Most Popular Medical Lectures.
","4.8
",,,
,,,,,,,,
INSTRUMENT,"Pianoforall - Incredible New Way To Learn Piano & Keyboard
","Pianoforall will take complete beginners to an intermediate level in a very short space of time
You get to sound like a pro right from the start
You will learn the absolute basic essential techniques that will allow you to play any song in any style - by ear!
You will learn to read sheet music AS you learn to play-by-ear
","Robin Hall
","Piano Teacher (300,000 students online), Artist, Therapist,
","4.7
",,,
,,,,,,,,
INSTRUMENT,"Complete Guitar Lessons System - Beginner to Advanced
","New to Guitar? This Will be the Only Course You Will Ever Need to Take
Have You Playing the Guitar in the Shortest Amount of Time While Having the Most Fun
Most Logical Step-by-step Method to Play Songs and Master Chords, Scales and Guitar Theory
Exercises That Will Sharpen Your Chord Transitioning, Strumming, Fretting, Picking, and Fingerpicking
","Erich Andreas
","#1 Guitar Lessons! 40+Years, 100,000s of Students,
","4.6
",,,
,,,,,,,,
INSTRUMENT,"Music Theory Comprehensive Complete! (Levels 1, 2, & 3)
","Read Music Using Proven Techniques
Understand All the Symbols (Not Only the Notes) of a Music Score
Read, Play, and Count Rhythms Accurately
The elements of the Score
Pitch Names
Pitch Classes
Octaves
The White Keys
The Black Keys (not the band!)
Half-Steps and Whole-Steps
Clefs
Intervals
Naming Octaves
Identifying Notes on the Staff
Identifying Notes on the Keyboard
Beat and Beat Divisions
Tempo
Downbeats and Upbeats
Dotted Rhythms
Time Signatures
Ties
Accidentals
Form in Music Notation
Chromatic and Diatonic scales
Ordered Pitch Class Collections
The pattern of a Major Scale
Scale Degrees
Solfege
Writing melodies with major scales
Analyzing melodies
What it means to be ""in key""
Key signatures
How to identify key signatures
Popular song analysis
Building triads (chords)
Diatonic chord progressions
Roman numeral analysis
Inversions
Finding chords by formula
The thirds inside of a chord
Finding fifths by finding thirds
Diminished triads
Augmented triads
Chords on the guitar
Full Analysis: Canon in D (Pachabel)
Full Analysis: Minuet in G (Bach)
7th Chords
Major 7th Chords
Minor 7th Chords
Dominant 7th Chords
Tendency Chords
Using the Circle of Fifths for Songwriting and Composition
Borrowing from Closely Related Keys
Scale Degree Names
Tendency Tones
Compound Meters
Compound Meter Signatures
Reading and Writing Compound Meters
Triplets, dubplets, and Quadruplets
Finding Minor keys by alternations to Major
Patterns in Minor keys
Relative Minor keys
Parallel Minor keys
Minor keys in the Circle of Fifths
Using Minor Keys for Songwriting and Composition
Diatonic Chord Progressions in Minor
The V Chord and Minor and the Leading Tone Problem
Harmonic Minor Scales
Melodic Minor Scales
","Jason Allen
","Ph.D / Ableton Certified Trainer
","4.7
",,,
,,,,,,,,
INSTRUMENT,"BECOME A GREAT SINGER: Your Complete Vocal Training System
","The MOST Successful Singing Course on Udemy.
Chris Cornell, Layne Staley, Geoff Tate and Ann Wilson all trained THESE techniques. You will be part of that legacy of training.
Extend Your Vocal Range.
Learn How To Hit The High Notes! Guaranteed.
Learn Vocal Distortion & Vocal Rasp Techniques.
STOP Pushing and Squeezing Into The High Notes, GUARANTEED.
Develop Your Head Voice for a Four Octave Range.
Learn How To Get Your Voice Into Cry Vocal Mode.
Customize Your Own Vocal Workouts To Fix YOUR Unique Vocal Problems.
Learn About Singing Vowels & Onsets... Famous in The TVS Method.
How to Train The Voice for Contemporary Styles. NOT Classical.
","Robert Lunte
","Founder of The Vocalist Studio & courseCREEK Consulting
","4.4
",,,
,,,,,,,,
INSTRUMENT,"Understanding Indian Music
","The history, technicalities, and structure of Indian Music.
Appreciation of Indian music
Practical applications of Indian classical music in other forms of contemporary music
Details of an Indian Classical performance and its connection to Indian culture
","Aryaman Meswani
","Student
","4.9
",,,
,,,,,,,,
INSTRUMENT,"Learn to play HARMONICA, the easiest instrument to pick up!
","how to play the 12 bar blues, chords, rhythms, tone and chugging
how to breathe properly, use straight and swing rhythms
how to play single notes with pucker and tongue-blocked embouchures
scales, modes and positions, single/double/triple tonguing
how to use major and minor pentatonic scales for improvising and soloing
how to bend notes, use the hands properly, different types of vibratos and tremolos
how to play in the Masters' styles - Sonny Terry, Sonnyboy Williamson etc
","Ben Hewlett
","Let me turbocharge your harmonica playing to the next level
","4.5
",,,
,,,,,,,,
INSTRUMENT,"How to Become a DJ - Learn How to Start DJing Online Today
","How to DJ - Learn how to become a DJ online: This best-selling, top-rated online DJ school is a complete masterclass with 11 hours of high quality video.
You will have EVERY skill needed to play in front of the largest crowds and win. You won't have to rely on a pre-recorded set to play like a virtuoso.
","Ross Palmer
","Digital Mentor
","4.6
",,,
,,,,,,,,
INSTRUMENT,"Game Music Composition: Make Music For Games From Scratch
","Compose high quality, original video game music for any type of game and genre, for your own game or for someone else's game.
Start or further your career as a game music composer.
Understand some music theory, music composition, music production and general game music knowledge.
","Karleen Heong
","Composer, Music Teacher, Programmer
","4.6
",,,
,,,,,,,,
INSTRUMENT,"Ultimate Ableton Live 10 COMPLETE: Parts 1, 2, and 3
","At the end of this course, students will be able to produce music with Ableton Live and be on their way to being a professional musician.
Produce music using Ableton Live
Use drum samples to edit, arrange, and create unique drum beats of your own.
Work inside Ableton Live for completing full tracks
Kickstart your productions with my tracks - full sessions included in this class!
Students will understand the two videos in Live.
The fundamentals to recording in Live
All possible ways of editing in Live
The 10 fundamentals to audio recording
The 6 fundamentals to MIDI recording
The essential tools for Warping
Editing and Producing in Arrangement view
Session View editing and Producing
Making Beats
The 7 (and more!) methods to making beats in Ableton Live
Producing with synths in Ableton Live
The 12 Ableton Live Instruments
The new Wavetable Synth
The Ableton Live Samples
The 3 uses of Racks
The 8 MIDI Effects
The 10 Time-based audio effects
The 17 frequency-based audio effects
The 7 Dynamic-based audio effects
Working with Controllers and DJ Tools
Performing with Ableton Live
","Jason Allen
","Ph.D / Ableton Certified Trainer
","4.4
",,,
,,,,,,,,
INSTRUMENT,"Learn To Play The Drums
","Learn different Rhythms that make up everything we play on the drums
Learn to play Rudiments - Patterns that are the building blocks of drumming
Learn to play Rock Grooves - Impress your friends with your excellent beats
Learn how to play along to Popular Songs
Learn different Styles of Drumming - Latin, March, Blues, Reggae
Learn Theory of Drum Music and how to read Drum Notation
","Billy Baker
","UK Freelance drummer
","4.7
",,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
